BeeID,sensillum,sugar,concentration,GRN,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50
sbtl_c,s1,sucr,100mM,GRN2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0
sbtl_c,s1,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sbtl_c,s2,sucr,100mM,GRN1,1,0,0,1,2,2,0,1,2,2,1,1,2,1,0,0,0,0,0,1,2,1,1,2,1,2,2,1,3,2,2,2,2,2,1,1,2,2,1,1,2,1,3,2,2,2,1,1,2,1
sbtl_c,s2,sucr,100mM,GRN2,1,2,1,1,0,1,1,1,0,0,1,1,1,0,1,2,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sbtl_c,s2,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_c,s3,sucr,100mM,GRN1,1,0,1,1,1,1,1,2,1,1,0,1,2,1,2,1,0,0,1,1,2,1,2,0,2,1,1,2,2,1,2,0,2,0,3,2,1,1,0,2,2,2,2,1,0,1,1,1,1,1
sbtl_c,s3,sucr,100mM,GRN2,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
sbtl_c,s3,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_c,s4,sucr,100mM,GRN1,0,2,2,0,3,2,0,2,1,2,1,1,3,1,1,1,1,2,1,1,2,0,2,0,2,1,1,0,2,1,4,0,1,2,1,2,0,3,2,0,2,1,2,0,3,1,2,0,2,0
sbtl_c,s4,sucr,100mM,GRN2,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0
sbtl_c,s4,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_d,s1,sucr,100mM,GRN1,1,1,1,0,1,0,1,2,0,1,1,0,2,0,2,0,2,0,2,0,2,0,2,1,1,1,2,1,0,1,2,2,0,2,1,2,2,0,1,2,1,2,3,1,1,2,0,2,2,2
sbtl_d,s1,sucr,100mM,GRN2,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
sbtl_d,s1,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_d,s2,sucr,100mM,GRN1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,2,0,1,0,1,0,1,0,0,2,1,0,1,0,1,0,1,0,1,2,1,0,2,0,0,2,0,0,1,0,1
sbtl_d,s2,sucr,100mM,GRN2,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
sbtl_d,s2,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_d,s3,sucr,100mM,GRN1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,2,0,1,1,0,1,1,0,1,0,1,2,0,1,1,1,0,1,1,1,0
sbtl_d,s3,sucr,100mM,GRN2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
sbtl_d,s3,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_d,s4,sucr,100mM,GRN1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,2,1,1,0,1,1,1,1,0,3,0,1,1,1,0,1,1,0,1,1,0,1,3,1,1,1,1,2,1,0
sbtl_d,s4,sucr,100mM,GRN2,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0
sbtl_d,s4,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_d,s5,sucr,100mM,GRN1,0,1,1,0,1,0,1,0,1,0,2,0,1,0,1,1,1,3,0,1,1,0,2,1,1,0,1,2,0,2,1,1,1,1,1,1,1,0,2,0,1,1,1,1,0,1,1,1,2,0
sbtl_d,s5,sucr,100mM,GRN2,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
sbtl_d,s5,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_d,s6,sucr,100mM,GRN1,0,2,2,0,1,1,2,1,0,0,2,0,0,2,1,0,1,1,0,1,0,0,2,2,0,0,2,0,1,1,0,2,0,0,2,0,0,1,0,2,1,0,1,1,1,0,1,1,2,0
sbtl_d,s6,sucr,100mM,GRN2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
sbtl_d,s6,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_e,s1,sucr,100mM,GRN1,1,1,0,2,0,1,1,2,0,3,0,2,0,2,1,2,0,2,0,1,1,2,0,1,0,2,1,1,2,0,1,2,0,1,3,2,0,1,2,2,0,1,0,1,2,1,0,2,2,1
sbtl_e,s1,sucr,100mM,GRN2,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
sbtl_e,s1,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_e,s2,sucr,100mM,GRN1,0,0,1,0,1,1,0,1,0,2,0,1,0,1,1,1,0,1,1,2,0,2,2,2,1,1,1,0,1,0,1,0,1,1,1,1,0,2,1,2,1,0,1,1,1,1,2,1,1,1
sbtl_e,s2,sucr,100mM,GRN2,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
sbtl_e,s2,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_e,s3,sucr,100mM,GRN1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0
sbtl_e,s3,sucr,100mM,GRN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_e,s3,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_e,s4,sucr,100mM,GRN1,4,2,1,2,0,1,1,0,2,2,2,1,1,1,0,2,1,2,1,2,0,0,1,2,1,1,2,0,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,2,1,1,0,1,1,0
sbtl_e,s4,sucr,100mM,GRN2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sbtl_e,s4,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_e,s5,sucr,100mM,GRN1,0,0,3,2,2,0,0,3,2,2,2,1,2,2,1,2,2,2,0,1,2,1,2,2,2,1,2,0,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,0,0,2,2,1,1
sbtl_e,s5,sucr,100mM,GRN2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sbtl_e,s5,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbtl_e,s6,sucr,100mM,GRN1,3,1,0,3,2,1,0,3,2,1,0,3,2,0,1,2,2,2,0,1,2,2,2,0,1,2,2,0,1,3,1,0,2,1,0,2,2,1,0,2,2,0,1,2,1,0,2,2,2,0
sbtl_e,s6,sucr,100mM,GRN2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
sbtl_e,s6,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_a,s1,sucr,100mM,GRN1,1,2,0,1,2,0,1,3,0,1,2,0,1,3,0,1,0,0,1,1,0,1,0,2,1,0,1,1,0,2,1,0,2,1,2,1,0,0,0,1,2,0,0,0,1,1,0,2,0,0
srbs_a,s1,sucr,100mM,GRN2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
srbs_a,s1,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_a,s2,sucr,100mM,GRN1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,2,2,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0
srbs_a,s2,sucr,100mM,GRN2,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0
srbs_a,s2,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_a,s3,sucr,100mM,GRN1,0,2,1,2,1,2,1,1,2,0,2,0,2,1,2,1,2,0,3,1,3,0,2,0,2,1,2,1,2,3,1,1,0,2,0,2,0,3,0,3,1,1,2,0,3,0,2,0,1,1
srbs_a,s3,sucr,100mM,GRN2,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
srbs_a,s3,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_a,s4,sucr,100mM,GRN1,1,3,0,3,0,1,3,0,1,1,0,2,1,2,2,1,1,0,2,1,2,1,1,1,3,0,2,1,2,1,2,1,2,2,2,2,0,2,1,1,1,2,0,2,1,1,1,1,2,0
srbs_a,s4,sucr,100mM,GRN2,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0
srbs_a,s4,sucr,100mM,GRN3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
srbs_a,s5,sucr,100mM,GRN1,1,1,1,1,1,1,2,1,2,0,1,2,1,0,2,2,3,0,3,0,1,1,2,2,1,2,1,2,1,1,1,1,0,2,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0
srbs_a,s5,sucr,100mM,GRN2,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
srbs_a,s5,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s1,sucr,100mM,GRN1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,3,1,3,1,2,1,2,1,2,1,3,1,3,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1
srbs_b,s1,sucr,100mM,GRN2,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s1,sucr,100mM,GRN3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s2,sucr,100mM,GRN1,1,0,2,1,2,2,3,2,2,2,2,1,2,2,3,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,0,1,0,2,2,0,2,1,0,2,1,1,2,0
srbs_b,s2,sucr,100mM,GRN2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
srbs_b,s2,sucr,100mM,GRN3,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s3,sucr,100mM,GRN1,0,2,1,1,3,3,2,2,1,2,3,2,2,1,2,0,3,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,1,2,2,1,2,1,2,1,2,2,1
srbs_b,s3,sucr,100mM,GRN2,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s3,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
srbs_b,s4,sucr,100mM,GRN1,0,1,0,0,2,1,0,2,0,1,1,1,0,1,0,1,2,0,0,0,2,1,0,2,0,1,0,1,0,1,0,1,1,0,1,2,0,1,1,1,1,0,0,2,1,0,0,1,0,0
srbs_b,s4,sucr,100mM,GRN2,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
srbs_b,s4,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s5,sucr,100mM,GRN1,1,1,2,1,2,1,1,2,2,0,2,1,1,2,1,1,1,2,1,1,2,0,1,0,0,0,0,1,1,1,1,0,2,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0
srbs_b,s5,sucr,100mM,GRN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
srbs_b,s5,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s6,sucr,100mM,GRN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s6,sucr,100mM,GRN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_b,s6,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_c,s1,sucr,100mM,GRN1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,2,0,1,0,1,1,1,0,3,0,1,2,0,2,1,0,0,1,1,1,1,0,1,0,1,0,3,1,2,0
srbs_c,s1,sucr,100mM,GRN2,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0
srbs_c,s1,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_c,s2,sucr,100mM,GRN1,1,1,1,2,1,0,2,0,0,0,4,2,0,0,3,2,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,0,2,1,0,1,2,2,2,0,1,2,2,1,1,2,1,1,1
srbs_c,s2,sucr,100mM,GRN2,0,1,0,1,1,2,0,1,1,1,0,0,1,1,0,0,2,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0
srbs_c,s2,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
srbs_c,s3,sucr,100mM,GRN1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,1,1,2,1,3,1,1,1,1,1,2,0,1,1,1,0,2,0,1,1,0
srbs_c,s3,sucr,100mM,GRN2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
srbs_c,s3,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
srbs_c,s4,sucr,100mM,GRN1,1,2,1,0,3,0,1,3,2,1,2,2,2,2,0,3,2,2,2,3,1,2,3,2,2,1,2,2,3,2,1,2,2,2,1,2,1,2,2,2,2,0,1,1,1,2,2,1,2,0
srbs_c,s4,sucr,100mM,GRN2,1,1,2,1,1,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
srbs_c,s4,sucr,100mM,GRN3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_c,s5,sucr,100mM,GRN1,2,3,2,1,2,1,0,1,1,1,1,1,2,0,1,2,3,1,1,1,1,1,1,2,2,0,3,2,1,2,2,0,2,2,2,2,2,1,2,2,1,2,0,2,2,2,1,2,2,0
srbs_c,s5,sucr,100mM,GRN2,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
srbs_c,s5,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
srbs_d,s1,sucr,100mM,GRN1,1,1,1,0,2,2,2,2,0,2,0,1,1,1,0,0,2,2,0,1,0,2,0,2,1,2,2,2,0,2,1,0,1,0,1,0,2,3,1,2,0,1,2,2,1,1,1,1,1,1
srbs_d,s1,sucr,100mM,GRN2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
srbs_d,s1,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_d,s2,sucr,100mM,GRN1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,1,1,1,1,1,0,2,2,0,1,0,3,1,2,2,1,1,1
srbs_d,s2,sucr,100mM,GRN2,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
srbs_d,s2,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
srbs_d,s3,sucr,100mM,GRN1,3,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,0,1,0,1,1,2,2,1,1,1,2,1,1,2,1,1,1,0,1,1,1,1,2,1,0
srbs_d,s3,sucr,100mM,GRN2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_d,s3,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_d,s4,sucr,100mM,GRN1,1,2,2,0,2,0,2,3,2,2,1,0,2,1,0,2,3,2,2,1,2,2,2,1,1,2,1,0,2,2,1,1,0,2,1,0,1,2,1,2,0,0,2,2,2,1,1,1,2,0
srbs_d,s4,sucr,100mM,GRN2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
srbs_d,s4,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srbs_d,s5,sucr,100mM,GRN1,1,2,1,2,0,3,0,3,3,2,0,3,2,1,2,1,2,2,1,3,3,2,0,3,2,0,3,1,1,3,2,1,2,2,3,2,1,1,2,2,0,2,3,2,0,3,2,2,2,2
srbs_d,s5,sucr,100mM,GRN2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
srbs_d,s5,sucr,100mM,GRN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
srbs_e,s1,sucr,100mM,GRN1,2,0,2,1,2,3,2,2,1,4,3,4,3,4,3,3,2,0,4,3,3,3,3,1,1,3,2,0,3,3,3,3,3,0,2,3,2,3,2,0,3,3,2,2,2,0,2,2,2,0
srbs_e,s1,sucr,100mM,GRN2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
